date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:16:50	74664/74664	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Dec%202015%2012:54:13%20GMT	http://iondigi.com/demo/html/profitheme/images/team-1-index-2.jpg	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/images/team-1-index-2.jpg	(from http://iondigi.com/demo/html/profitheme/index-central-logo.html)
13:16:56	91133/91133	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Dec%202015%2012:54:13%20GMT	http://iondigi.com/demo/html/profitheme/images/team-2-index-3.jpg	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/images/team-2-index-3.jpg	(from http://iondigi.com/demo/html/profitheme/index-central-logo.html)
13:17:00	59223/59223	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Dec%202015%2012:54:13%20GMT	http://iondigi.com/demo/html/profitheme/images/team-3-index-2.jpg	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/images/team-3-index-2.jpg	(from http://iondigi.com/demo/html/profitheme/index-central-logo.html)
13:17:04	45639/45639	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Dec%202015%2012:54:13%20GMT	http://iondigi.com/demo/html/profitheme/images/team-4-index-2.jpg	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/images/team-4-index-2.jpg	(from http://iondigi.com/demo/html/profitheme/index-central-logo.html)
13:17:05	8513/8513	---M--	200	added ('OK')	text/css	date:Thu,%2031%20Dec%202015%2014:03:47%20GMT	http://iondigi.com/demo/html/profitheme/css/blueimp-gallery.min.css	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/css/blueimp-gallery.min.css	(from http://iondigi.com/demo/html/profitheme/index-slider.html)
13:17:24	108505/108505	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Dec%202015%2012:54:13%20GMT	http://iondigi.com/demo/html/profitheme/images/slider-1.jpg	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/images/slider-1.jpg	(from http://iondigi.com/demo/html/profitheme/index-slider.html)
13:17:32	198196/198196	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Dec%202015%2012:54:12%20GMT	http://iondigi.com/demo/html/profitheme/images/news-1.jpg	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/images/news-1.jpg	(from http://iondigi.com/demo/html/profitheme/index-central-logo.html)
13:17:33	457868/457868	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Dec%202015%2012:54:12%20GMT	http://iondigi.com/demo/html/profitheme/images/main-bg-2.jpg	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/images/main-bg-2.jpg	(from http://iondigi.com/demo/html/profitheme/index-central-logo.html)
13:17:49	99635/99635	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Dec%202015%2012:54:13%20GMT	http://iondigi.com/demo/html/profitheme/images/slider-3.jpg	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/images/slider-3.jpg	(from http://iondigi.com/demo/html/profitheme/index-slider.html)
13:17:52	490113/490113	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Dec%202015%2012:54:11%20GMT	http://iondigi.com/demo/html/profitheme/images/cust-bg-index-2.jpg	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/images/cust-bg-index-2.jpg	(from http://iondigi.com/demo/html/profitheme/index-central-logo.html)
13:17:57	206992/206992	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Dec%202015%2012:54:13%20GMT	http://iondigi.com/demo/html/profitheme/images/slider-2.jpg	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/images/slider-2.jpg	(from http://iondigi.com/demo/html/profitheme/index-slider.html)
13:18:17	276792/276792	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Dec%202015%2012:54:14%20GMT	http://iondigi.com/demo/html/profitheme/images/team-bg-index-4.jpg	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/images/team-bg-index-4.jpg	(from http://iondigi.com/demo/html/profitheme/index-slider.html)
13:18:39	287005/287005	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Dec%202015%2012:54:13%20GMT	http://iondigi.com/demo/html/profitheme/images/product-2-index-4.jpg	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/images/product-2-index-4.jpg	(from http://iondigi.com/demo/html/profitheme/index-slider.html)
13:18:39	318839/318839	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Dec%202015%2012:54:13%20GMT	http://iondigi.com/demo/html/profitheme/images/product-1-index-4.jpg	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/images/product-1-index-4.jpg	(from http://iondigi.com/demo/html/profitheme/index-slider.html)
13:18:41	271288/271288	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Dec%202015%2012:54:13%20GMT	http://iondigi.com/demo/html/profitheme/images/product-3-index-4.jpg	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/images/product-3-index-4.jpg	(from http://iondigi.com/demo/html/profitheme/index-slider.html)
13:20:04	507954/507954	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Dec%202015%2012:54:12%20GMT	http://iondigi.com/demo/html/profitheme/images/main-bg-1.jpg	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/images/main-bg-1.jpg	(from http://iondigi.com/demo/html/profitheme/index-slider.html)
13:20:14	772464/772464	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Dec%202015%2012:54:12%20GMT	http://iondigi.com/demo/html/profitheme/images/pricing-bg-index-4.jpg	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/images/pricing-bg-index-4.jpg	(from http://iondigi.com/demo/html/profitheme/index-slider.html)
13:20:19	595029/595029	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Dec%202015%2012:54:11%20GMT	http://iondigi.com/demo/html/profitheme/images/cust-bg-index-4.jpg	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/images/cust-bg-index-4.jpg	(from http://iondigi.com/demo/html/profitheme/index-slider.html)
13:20:48	782721/782721	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Dec%202015%2012:54:11%20GMT	http://iondigi.com/demo/html/profitheme/images/cust-bg-index-1.jpg	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/images/cust-bg-index-1.jpg	(from http://iondigi.com/demo/html/profitheme/index-slider.html)
13:22:51	968300/968300	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Dec%202015%2012:54:11%20GMT	http://iondigi.com/demo/html/profitheme/images/gallery2.jpg	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/images/gallery2.jpg	(from http://iondigi.com/demo/html/profitheme/index-slider.html)
13:23:18	166990/166990	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Dec%202015%2012:54:10%20GMT	http://iondigi.com/demo/html/profitheme/images/cust-1-index-4.jpg	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/images/cust-1-index-4.jpg	(from http://iondigi.com/demo/html/profitheme/index-slider.html)
13:23:48	175020/175020	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Dec%202015%2012:54:11%20GMT	http://iondigi.com/demo/html/profitheme/images/cust-2-index-4.jpg	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/images/cust-2-index-4.jpg	(from http://iondigi.com/demo/html/profitheme/index-slider.html)
13:24:05	98234/98234	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Dec%202015%2012:54:11%20GMT	http://iondigi.com/demo/html/profitheme/images/cust-3-index-4.jpg	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/images/cust-3-index-4.jpg	(from http://iondigi.com/demo/html/profitheme/index-slider.html)
13:24:06	32794/32794	---M--	200	added ('OK')	application/x-javascript	date:Wed,%2030%20Dec%202015%2012:54:11%20GMT	http://iondigi.com/demo/html/profitheme/js/blueimp-gallery.min.js	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/js/blueimp-gallery.min.js	(from http://iondigi.com/demo/html/profitheme/index-slider.html)
13:24:16	57095/57095	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Dec%202015%2012:54:13%20GMT	http://iondigi.com/demo/html/profitheme/images/services-1-index-1.jpg	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/images/services-1-index-1.jpg	(from http://iondigi.com/demo/html/profitheme/index.html)
13:24:28	73481/73481	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Dec%202015%2012:54:13%20GMT	http://iondigi.com/demo/html/profitheme/images/services-2-index-1.jpg	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/images/services-2-index-1.jpg	(from http://iondigi.com/demo/html/profitheme/index.html)
13:24:36	33718/33718	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Dec%202015%2012:54:13%20GMT	http://iondigi.com/demo/html/profitheme/images/services-3-index-1.jpg	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/images/services-3-index-1.jpg	(from http://iondigi.com/demo/html/profitheme/index.html)
13:24:41	1447721/1447721	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Dec%202015%2012:54:12%20GMT	http://iondigi.com/demo/html/profitheme/images/gallery4.jpg	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/images/gallery4.jpg	(from http://iondigi.com/demo/html/profitheme/index-slider.html)
13:24:46	59191/59191	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Dec%202015%2012:54:13%20GMT	http://iondigi.com/demo/html/profitheme/images/services-4-index-1.jpg	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/images/services-4-index-1.jpg	(from http://iondigi.com/demo/html/profitheme/index.html)
13:24:53	72676/72676	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Dec%202015%2012:54:11%20GMT	http://iondigi.com/demo/html/profitheme/images/cust-2-index-3.jpg	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/images/cust-2-index-3.jpg	(from http://iondigi.com/demo/html/profitheme/product_page.html)
13:24:54	7273/7273	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2011%20Jan%202016%2015:23:51%20GMT	http://iondigi.com/demo/html/profitheme/Version/	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/Version/index.html	(from http://iondigi.com/demo/html/profitheme/js/TweenMax.min.js)
13:24:54	2646/2646	---M--	200	added ('OK')	application/x-javascript	date:Wed,%2030%20Dec%202015%2012:54:08%20GMT	http://iondigi.com/demo/html/profitheme/color-switcher/switcher.js	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/color-switcher/switcher.js	(from http://iondigi.com/demo/html/profitheme/js/main.js)
13:24:55	7273/7273	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2011%20Jan%202016%2015:23:53%20GMT	http://iondigi.com/demo/html/profitheme/img/loading.gif	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/img/loading.gif	(from http://iondigi.com/demo/html/profitheme/css/blueimp-gallery.min.css)
13:24:56	7273/7273	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2011%20Jan%202016%2015:23:54%20GMT	http://iondigi.com/demo/html/profitheme/img/error.png	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/img/error.png	(from http://iondigi.com/demo/html/profitheme/css/blueimp-gallery.min.css)
13:24:56	7273/7273	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2011%20Jan%202016%2015:23:54%20GMT	http://iondigi.com/demo/html/profitheme/img/play-pause.png	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/img/play-pause.png	(from http://iondigi.com/demo/html/profitheme/css/blueimp-gallery.min.css)
13:24:56	7273/7273	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2011%20Jan%202016%2015:23:54%20GMT	http://iondigi.com/demo/html/profitheme/img/error.svg	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/img/error.svg	(from http://iondigi.com/demo/html/profitheme/css/blueimp-gallery.min.css)
13:24:57	7273/7273	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2011%20Jan%202016%2015:23:55%20GMT	http://iondigi.com/demo/html/profitheme/img/play-pause.svg	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/img/play-pause.svg	(from http://iondigi.com/demo/html/profitheme/css/blueimp-gallery.min.css)
13:24:57	7273/7273	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2011%20Jan%202016%2015:23:55%20GMT	http://iondigi.com/demo/html/profitheme/img/video-play.png	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/img/video-play.png	(from http://iondigi.com/demo/html/profitheme/css/blueimp-gallery.min.css)
13:24:57	7273/7273	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2011%20Jan%202016%2015:23:56%20GMT	http://iondigi.com/demo/html/profitheme/img/video-play.svg	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/img/video-play.svg	(from http://iondigi.com/demo/html/profitheme/css/blueimp-gallery.min.css)
13:24:59	75493/75493	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Dec%202015%2012:54:10%20GMT	http://iondigi.com/demo/html/profitheme/images/cust-1-index-3.jpg	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/images/cust-1-index-3.jpg	(from http://iondigi.com/demo/html/profitheme/product_page.html)
13:25:07	1945467/1945467	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Dec%202015%2012:54:11%20GMT	http://iondigi.com/demo/html/profitheme/images/gallery1.jpg	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/images/gallery1.jpg	(from http://iondigi.com/demo/html/profitheme/index-slider.html)
13:25:08	1844961/1844961	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Dec%202015%2012:54:11%20GMT	http://iondigi.com/demo/html/profitheme/images/gallery3.jpg	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/images/gallery3.jpg	(from http://iondigi.com/demo/html/profitheme/index-slider.html)
13:25:08	7273/7273	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2011%20Jan%202016%2015:24:06%20GMT	http://iondigi.com/demo/html/profitheme/js/color-switcher/template.html	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/js/color-switcher/template.html	(from http://iondigi.com/demo/html/profitheme/color-switcher/switcher.js)
